wiki_id,total_M_2,total_F_2,c_o_M_2,c_o_F_2,pure_M_2,pure_F_2,total_M_3,total_F_3,c_o_M_3,c_o_F_3,pure_M_3,pure_F_3,total_M_4,total_F_4,c_o_M_4,c_o_F_4,pure_M_4,pure_F_4,total_M_5,total_F_5,c_o_M_5,c_o_F_5,pure_M_5,pure_F_5,total_M_6,total_F_6,c_o_M_6,c_o_F_6,pure_M_6,pure_F_6,total_M_7,total_F_7,c_o_M_7,c_o_F_7,pure_M_7,pure_F_7,total_M_8,total_F_8,c_o_M_8,c_o_F_8,pure_M_8,pure_F_8,total_M_9,total_F_9,c_o_M_9,c_o_F_9,pure_M_9,pure_F_9,total_M_10,total_F_10,c_o_M_10,c_o_F_10,pure_M_10,pure_F_10,total_M_sent,total_F_sent,c_o_M_sent,c_o_F_sent,pure_M_sent,pure_F_sent
9462004,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3
22443525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26494309,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6
25942540,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,25,0
3793631,27,24,6,6,21,18,27,24,6,6,21,18,27,24,9,9,18,15,27,24,11,11,16,13,27,24,11,11,16,13,27,24,13,12,14,12,27,24,13,12,14,12,27,24,15,14,12,10,27,24,17,15,10,9,27,24,20,16,7,8
8843403,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0,45,1,1,1,44,0
5501808,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0,19,0,0,0,19,0
2346581,3,5,2,2,1,3,3,5,2,2,1,3,3,5,2,2,1,3,3,5,3,3,0,2,3,5,3,3,0,2,3,5,3,3,0,2,3,5,3,3,0,2,3,5,3,3,0,2,3,5,3,3,0,2,3,5,3,3,0,2
3092405,21,4,1,1,20,3,21,4,1,1,20,3,21,4,2,2,19,2,21,4,2,2,19,2,21,4,3,3,18,1,21,4,3,3,18,1,21,4,4,3,17,1,21,4,4,3,17,1,21,4,4,3,17,1,21,4,6,4,15,0
32567318,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1,7,1,0,0,7,1
3097826,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0,66,0,0,0,66,0
8624023,5,7,1,1,4,6,5,7,1,2,4,5,5,7,1,2,4,5,5,7,1,2,4,5,5,7,2,3,3,4,5,7,3,4,2,3,5,7,3,4,2,3,5,7,3,4,2,3,5,7,3,5,2,2,5,7,3,5,2,2
16364045,2,5,0,0,2,5,2,5,0,0,2,5,2,5,1,1,1,4,2,5,1,1,1,4,2,5,1,1,1,4,2,5,1,1,1,4,2,5,1,1,1,4,2,5,1,1,1,4,2,5,1,1,1,4,2,5,1,1,1,4
3479622,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0
413426,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,0,0,10,1,10,1,1,1,9,0
14746975,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
2783427,4,2,1,1,3,1,4,2,1,1,3,1,4,2,1,1,3,1,4,2,1,1,3,1,4,2,1,1,3,1,4,2,2,2,2,0,4,2,2,2,2,0,4,2,2,2,2,0,4,2,2,2,2,0,4,2,2,2,2,0
14119255,38,5,1,1,37,4,38,5,1,1,37,4,38,5,2,2,36,3,38,5,2,2,36,3,38,5,2,2,36,3,38,5,2,2,36,3,38,5,3,2,35,3,38,5,3,2,35,3,38,5,3,2,35,3,38,5,7,5,31,0
1883157,28,13,1,1,27,12,28,13,2,2,26,11,28,13,4,3,24,10,28,13,5,3,23,10,28,13,6,3,22,10,28,13,9,5,19,8,28,13,12,7,16,6,28,13,13,8,15,5,28,13,13,8,15,5,28,13,17,11,11,2
11191665,29,22,1,1,28,21,29,22,2,2,27,20,29,22,3,3,26,19,29,22,3,3,26,19,29,22,4,4,25,18,29,22,5,5,24,17,29,22,5,5,24,17,29,22,5,5,24,17,29,22,8,7,21,15,29,22,10,8,19,14
13065718,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2
7862294,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
8208317,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0
24987301,26,12,1,1,25,11,26,12,4,4,22,8,26,12,4,4,22,8,26,12,4,4,22,8,26,12,5,5,21,7,26,12,6,6,20,6,26,12,7,7,19,5,26,12,7,7,19,5,26,12,8,8,18,4,26,12,11,9,15,3
1348785,14,2,0,0,14,2,14,2,1,1,13,1,14,2,2,2,12,0,14,2,2,2,12,0,14,2,2,2,12,0,14,2,2,2,12,0,14,2,2,2,12,0,14,2,2,2,12,0,14,2,2,2,12,0,14,2,3,2,11,0
6218427,10,24,1,1,9,23,10,24,1,1,9,23,10,24,2,2,8,22,10,24,3,3,7,21,10,24,4,4,6,20,10,24,4,4,6,20,10,24,5,5,5,19,10,24,6,6,4,18,10,24,6,6,4,18,10,24,6,6,4,18
3273263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21034985,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,1,1,12,5,13,6,3,3,10,3
27669486,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2
12800965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20019382,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0
2970602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23967515,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,2,2
30319579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12300854,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
29850238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33894063,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2
20851014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9652376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15837630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7277772,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0
6141751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11838500,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0,13,0,0,0,13,0
12165318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16266637,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0
1124348,6,4,0,0,6,4,6,4,2,2,4,2,6,4,2,2,4,2,6,4,2,2,4,2,6,4,2,2,4,2,6,4,2,2,4,2,6,4,2,2,4,2,6,4,2,2,4,2,6,4,3,3,3,1,6,4,3,3,3,1
10131260,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0
242542,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0
471755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34414967,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0
6768753,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12
18066576,3,9,1,1,2,8,3,9,2,2,1,7,3,9,2,2,1,7,3,9,3,2,0,7,3,9,3,2,0,7,3,9,3,2,0,7,3,9,3,2,0,7,3,9,3,3,0,6,3,9,3,3,0,6,3,9,3,3,0,6
9487056,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0
19093155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7029001,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0
246355,27,10,5,4,22,6,27,10,5,4,22,6,27,10,6,5,21,5,27,10,7,7,20,3,27,10,8,7,19,3,27,10,8,7,19,3,27,10,10,8,17,2,27,10,11,8,16,2,27,10,11,8,16,2,27,10,13,8,14,2
12343972,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0,52,0,0,0,52,0
22523378,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
11452604,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23
9633533,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0
4151108,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0,6,2,2,2,4,0
31097343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21318106,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23,0,23,0,0,0,23
3150787,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0,18,0,0,0,18,0
16489470,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0
2987486,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,12,0
1614875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8656845,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
14790445,17,12,6,6,11,6,17,12,7,6,10,6,17,12,7,6,10,6,17,12,8,6,9,6,17,12,8,6,9,6,17,12,8,6,9,6,17,12,9,7,8,5,17,12,11,9,6,3,17,12,11,9,6,3,17,12,12,11,5,1
2634852,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0
1856550,22,6,0,0,22,6,22,6,0,0,22,6,22,6,0,0,22,6,22,6,0,0,22,6,22,6,0,0,22,6,22,6,0,0,22,6,22,6,0,0,22,6,22,6,0,0,22,6,22,6,1,1,21,5,22,6,4,1,18,5
7626259,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0
2663129,12,2,0,0,12,2,12,2,0,0,12,2,12,2,1,1,11,1,12,2,1,1,11,1,12,2,1,1,11,1,12,2,1,1,11,1,12,2,1,1,11,1,12,2,1,1,11,1,12,2,1,1,11,1,12,2,4,2,8,0
255858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5579906,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,15,0
1861161,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11,0,11,0,0,0,11
2294047,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0,53,0,0,0,53,0
5948294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744593,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
