wiki_id,total_M_2,total_F_2,c_o_M_2,c_o_F_2,pure_M_2,pure_F_2,total_M_3,total_F_3,c_o_M_3,c_o_F_3,pure_M_3,pure_F_3,total_M_4,total_F_4,c_o_M_4,c_o_F_4,pure_M_4,pure_F_4,total_M_5,total_F_5,c_o_M_5,c_o_F_5,pure_M_5,pure_F_5,total_M_6,total_F_6,c_o_M_6,c_o_F_6,pure_M_6,pure_F_6,total_M_7,total_F_7,c_o_M_7,c_o_F_7,pure_M_7,pure_F_7,total_M_8,total_F_8,c_o_M_8,c_o_F_8,pure_M_8,pure_F_8,total_M_9,total_F_9,c_o_M_9,c_o_F_9,pure_M_9,pure_F_9,total_M_10,total_F_10,c_o_M_10,c_o_F_10,pure_M_10,pure_F_10,total_M_sent,total_F_sent,c_o_M_sent,c_o_F_sent,pure_M_sent,pure_F_sent
21487047,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3,2,5,2,2,0,3
15930359,40,10,0,0,40,10,40,10,0,0,40,10,40,10,0,0,40,10,40,10,0,0,40,10,40,10,0,0,40,10,40,10,0,0,40,10,40,10,3,2,37,8,40,10,4,3,36,7,40,10,4,3,36,7,40,10,9,7,31,3
26968376,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0
24426458,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1470989,25,5,3,2,22,3,25,5,3,2,22,3,25,5,3,2,22,3,25,5,3,2,22,3,25,5,5,4,20,1,25,5,5,4,20,1,25,5,6,4,19,1,25,5,6,4,19,1,25,5,6,4,19,1,25,5,8,4,17,1
142423,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3,14,4,1,1,13,3
2651130,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,1,1,3,17,4,18,2,2,2,16
25080984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19134739,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0
15779363,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0
16338862,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1,2,1,0,0,2,1
14910247,19,35,5,5,14,30,19,35,6,6,13,29,19,35,6,6,13,29,19,35,7,7,12,28,19,35,8,7,11,28,19,35,8,7,11,28,19,35,8,7,11,28,19,35,8,7,11,28,19,35,8,7,11,28,19,35,14,14,5,21
25595854,47,22,14,14,33,8,47,22,14,14,33,8,47,22,16,14,31,8,47,22,18,17,29,5,47,22,21,17,26,5,47,22,21,17,26,5,47,22,23,18,24,4,47,22,25,18,22,4,47,22,25,18,22,4,47,22,37,21,10,1
20614602,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0,57,0,0,0,57,0
29586711,11,3,0,0,11,3,11,3,0,0,11,3,11,3,1,1,10,2,11,3,1,1,10,2,11,3,1,1,10,2,11,3,1,1,10,2,11,3,1,1,10,2,11,3,1,1,10,2,11,3,1,1,10,2,11,3,2,2,9,1
11728170,20,27,2,2,18,25,20,27,3,3,17,24,20,27,4,4,16,23,20,27,5,5,15,22,20,27,9,9,11,18,20,27,9,9,11,18,20,27,10,9,10,18,20,27,10,9,10,18,20,27,10,9,10,18,20,27,11,13,9,14
1964091,25,24,6,6,19,18,25,24,7,7,18,17,25,24,10,10,15,14,25,24,10,10,15,14,25,24,10,10,15,14,25,24,10,10,15,14,25,24,11,11,14,13,25,24,13,12,12,12,25,24,13,12,12,12,25,24,14,16,11,8
8981188,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1605227,68,10,7,6,61,4,68,10,9,7,59,3,68,10,12,7,56,3,68,10,12,7,56,3,68,10,12,7,56,3,68,10,12,7,56,3,68,10,13,8,55,2,68,10,13,8,55,2,68,10,13,8,55,2,68,10,15,9,53,1
689947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29457801,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,0,0,11,4,11,4,1,1,10,3
154635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275251,44,32,6,8,38,24,44,32,9,11,35,21,44,32,10,12,34,20,44,32,11,13,33,19,44,32,12,14,32,18,44,32,14,14,30,18,44,32,16,16,28,16,44,32,17,17,27,15,44,32,17,17,27,15,44,32,22,21,22,11
7236691,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
5534117,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0,8,2,4,2,4,0
29982473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
